hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 720 Corridor Hotel 2,Pekan,2.0,7.1,118 reviews,89972,Pahang,Malaysia,4569904,booking
OYO 499 Comfort Hotel Sentul,Kuala Lumpur,2.0,6.9,95 reviews,45672,Kuala Lumpur,Malaysia,2924716,booking
OYO 761 City Hotel,Kuala Lumpur,2.0,6.8,354 reviews,64537,Kuala Lumpur,Malaysia,175851,booking
OYO 89562 Hotel Shalimar,"Chow Kit, Kuala Lumpur",2.0,3.6,6 reviews,57310,Kuala Lumpur,Malaysia,5743913,booking
OYO 561 MS Bukit Bintang Hotel,"Bukit Bintang, Kuala Lumpur",2.0,6.2,173 reviews,48261,Kuala Lumpur,Malaysia,4366975,booking
OYO 157 Norbu Hotel,"Pudu, Kuala Lumpur",2.0,5.7,138 reviews,68601,Kuala Lumpur,Malaysia,1812884,booking
OYO 89494 Max Star Hotel,"Kuala Lumpur City-Centre, Kuala Lumpur",2.0,6.9,145 reviews,82854,Kuala Lumpur,Malaysia,298442,booking
OYO 321 Hotel D'Elegant,"Bukit Bintang, Kuala Lumpur",2.0,6.8,288 reviews,57807,Kuala Lumpur,Malaysia,3166030,booking
OYO 44043 First Garden Hotel,Kuantan,2.0,6.6,22 reviews,86917,Pahang,Malaysia,5537444,booking
OYO 44015 MK Inn Hotel,"Golden Triangle, Kuala Lumpur",2.0,7.7,208 reviews,90903,Kuala Lumpur,Malaysia,5393597,booking
OYO 546 Grand City Hotel,Kuantan,2.0,6.8,559 reviews,83911,Pahang,Malaysia,401141,booking
OYO 478 The Green Hotel,"Ampang, Kuala Lumpur",2.0,7.0,163 reviews,60847,Kuala Lumpur,Malaysia,4205390,booking
OYO 304 Zero Hour Hotel,"Bukit Bintang, Kuala Lumpur",2.0,7.2,210 reviews,57664,Kuala Lumpur,Malaysia,2311981,booking
